#    L    TT             EE             BB             TE          
   180    0.57390E+04    0.89577E+00    0.13163E-01   -0.37922E+02
   181    0.57632E+04    0.88434E+00    0.13326E-01   -0.37033E+02
   182    0.57869E+04    0.87321E+00    0.13489E-01   -0.36112E+02
   183    0.58100E+04    0.86230E+00    0.13654E-01   -0.35162E+02
   184    0.58326E+04    0.85170E+00    0.13819E-01   -0.34182E+02
   185    0.58547E+04    0.84155E+00    0.13986E-01   -0.33174E+02
   186    0.58760E+04    0.83173E+00    0.14154E-01   -0.32136E+02
   187    0.58969E+04    0.82238E+00    0.14323E-01   -0.31068E+02
   188    0.59173E+04    0.81348E+00    0.14493E-01   -0.29973E+02
   189    0.59370E+04    0.80509E+00    0.14664E-01   -0.28849E+02
   190    0.59564E+04    0.79726E+00    0.14836E-01   -0.27698E+02
   191    0.59749E+04    0.79002E+00    0.15009E-01   -0.26518E+02
   192    0.59929E+04    0.78339E+00    0.15183E-01   -0.25311E+02
   193    0.60102E+04    0.77743E+00    0.15358E-01   -0.24078E+02
   194    0.60270E+04    0.77217E+00    0.15534E-01   -0.22817E+02
   195    0.60432E+04    0.76766E+00    0.15711E-01   -0.21530E+02
   196    0.60587E+04    0.76393E+00    0.15889E-01   -0.20217E+02
   197    0.60736E+04    0.76104E+00    0.16068E-01   -0.18880E+02
   198    0.60879E+04    0.75901E+00    0.16248E-01   -0.17517E+02
   199    0.61016E+04    0.75788E+00    0.16429E-01   -0.16130E+02
   200    0.61147E+04    0.75770E+00    0.16611E-01   -0.14719E+02
   201    0.61270E+04    0.75853E+00    0.16793E-01   -0.13284E+02
   202    0.61388E+04    0.76037E+00    0.16977E-01   -0.11826E+02
   203    0.61499E+04    0.76330E+00    0.17161E-01   -0.10344E+02
   204    0.61602E+04    0.76734E+00    0.17347E-01   -0.88425E+01
   205    0.61699E+04    0.77253E+00    0.17533E-01   -0.73184E+01
   206    0.61788E+04    0.77892E+00    0.17720E-01   -0.57731E+01
   207    0.61872E+04    0.78655E+00    0.17907E-01   -0.42074E+01
   208    0.61947E+04    0.79546E+00    0.18096E-01   -0.26217E+01
   209    0.62015E+04    0.80567E+00    0.18285E-01   -0.10167E+01
   210    0.62076E+04    0.81726E+00    0.18475E-01    0.60683E+00
   211    0.62131E+04    0.83025E+00    0.18666E-01    0.22486E+01
   212    0.62177E+04    0.84468E+00    0.18857E-01    0.39075E+01
   213    0.62217E+04    0.86059E+00    0.19049E-01    0.55837E+01
   214    0.62250E+04    0.87799E+00    0.19242E-01    0.72756E+01
   215    0.62275E+04    0.89707E+00    0.19436E-01    0.89826E+01
