#    L    TT             EE             TE             PP             TP          
   179    0.57174E+04    0.89197E+00   -0.39016E+02    0.30832E+07    0.31168E+04
   180    0.57424E+04    0.87994E+00   -0.38157E+02    0.30675E+07    0.30915E+04
   181    0.57668E+04    0.86813E+00   -0.37268E+02    0.30519E+07    0.30665E+04
   182    0.57906E+04    0.85659E+00   -0.36348E+02    0.30365E+07    0.30417E+04
   183    0.58139E+04    0.84528E+00   -0.35399E+02    0.30212E+07    0.30171E+04
   184    0.58367E+04    0.83426E+00   -0.34419E+02    0.30060E+07    0.29927E+04
   185    0.58590E+04    0.82370E+00   -0.33412E+02    0.29909E+07    0.29686E+04
   186    0.58804E+04    0.81345E+00   -0.32373E+02    0.29760E+07    0.29446E+04
   187    0.59015E+04    0.80366E+00   -0.31306E+02    0.29611E+07    0.29209E+04
   188    0.59221E+04    0.79432E+00   -0.30210E+02    0.29464E+07    0.28973E+04
   189    0.59419E+04    0.78548E+00   -0.29086E+02    0.29318E+07    0.28740E+04
   190    0.59615E+04    0.77720E+00   -0.27934E+02    0.29173E+07    0.28509E+04
   191    0.59802E+04    0.76949E+00   -0.26753E+02    0.29029E+07    0.28279E+04
   192    0.59983E+04    0.76240E+00   -0.25544E+02    0.28886E+07    0.28052E+04
   193    0.60158E+04    0.75597E+00   -0.24310E+02    0.28744E+07    0.27827E+04
   194    0.60329E+04    0.75023E+00   -0.23047E+02    0.28604E+07    0.27603E+04
   195    0.60492E+04    0.74522E+00   -0.21759E+02    0.28464E+07    0.27382E+04
   196    0.60648E+04    0.74100E+00   -0.20444E+02    0.28326E+07    0.27162E+04
   197    0.60800E+04    0.73761E+00   -0.19105E+02    0.28188E+07    0.26944E+04
   198    0.60944E+04    0.73508E+00   -0.17740E+02    0.28052E+07    0.26728E+04
   199    0.61083E+04    0.73345E+00   -0.16350E+02    0.27917E+07    0.26514E+04
   200    0.61216E+04    0.73276E+00   -0.14936E+02    0.27783E+07    0.26301E+04
   201    0.61341E+04    0.73306E+00   -0.13497E+02    0.27650E+07    0.26091E+04
   202    0.61461E+04    0.73438E+00   -0.12036E+02    0.27518E+07    0.25882E+04
   203    0.61573E+04    0.73678E+00   -0.10551E+02    0.27387E+07    0.25674E+04
   204    0.61678E+04    0.74029E+00   -0.90452E+01    0.27257E+07    0.25469E+04
   205    0.61777E+04    0.74495E+00   -0.75169E+01    0.27128E+07    0.25265E+04
   206    0.61868E+04    0.75081E+00   -0.59673E+01    0.27000E+07    0.25063E+04
   207    0.61953E+04    0.75789E+00   -0.43969E+01    0.26873E+07    0.24862E+04
   208    0.62030E+04    0.76626E+00   -0.28063E+01    0.26747E+07    0.24663E+04
   209    0.62100E+04    0.77593E+00   -0.11961E+01    0.26621E+07    0.24465E+04
   210    0.62163E+04    0.78697E+00    0.43278E+00    0.26497E+07    0.24269E+04
   211    0.62219E+04    0.79941E+00    0.20802E+01    0.26374E+07    0.24075E+04
