#    L    TT             EE             TE             PP             TP          
   244    0.60419E+04    0.22822E+01    0.63182E+02    0.21932E+07    0.19770E+04
   245    0.60241E+04    0.23645E+01    0.65022E+02    0.21839E+07    0.19609E+04
   246    0.60057E+04    0.24494E+01    0.66854E+02    0.21746E+07    0.19449E+04
   247    0.59867E+04    0.25366E+01    0.68675E+02    0.21654E+07    0.19291E+04
   248    0.59670E+04    0.26267E+01    0.70486E+02    0.21563E+07    0.19133E+04
   249    0.59469E+04    0.27189E+01    0.72285E+02    0.21472E+07    0.18977E+04
   250    0.59260E+04    0.28140E+01    0.74071E+02    0.21381E+07    0.18822E+04
   251    0.59047E+04    0.29114E+01    0.75845E+02    0.21292E+07    0.18668E+04
   252    0.58826E+04    0.30114E+01    0.77605E+02    0.21203E+07    0.18515E+04
   253    0.58602E+04    0.31139E+01    0.79350E+02    0.21114E+07    0.18363E+04
   254    0.58371E+04    0.32190E+01    0.81079E+02    0.21026E+07    0.18213E+04
   255    0.58134E+04    0.33265E+01    0.82792E+02    0.20939E+07    0.18063E+04
   256    0.57892E+04    0.34369E+01    0.84490E+02    0.20852E+07    0.17915E+04
   257    0.57646E+04    0.35495E+01    0.86163E+02    0.20766E+07    0.17767E+04
   258    0.57393E+04    0.36648E+01    0.87825E+02    0.20681E+07    0.17621E+04
   259    0.57136E+04    0.37826E+01    0.89460E+02    0.20596E+07    0.17476E+04
   260    0.56874E+04    0.39029E+01    0.91083E+02    0.20511E+07    0.17332E+04
   261    0.56607E+04    0.40257E+01    0.92673E+02    0.20427E+07    0.17189E+04
   262    0.56334E+04    0.41512E+01    0.94250E+02    0.20344E+07    0.17047E+04
   263    0.56059E+04    0.42790E+01    0.95808E+02    0.20261E+07    0.16905E+04
   264    0.55778E+04    0.44094E+01    0.97339E+02    0.20179E+07    0.16765E+04
   265    0.55491E+04    0.45422E+01    0.98835E+02    0.20097E+07    0.16626E+04
   266    0.55201E+04    0.46777E+01    0.10032E+03    0.20016E+07    0.16488E+04
   267    0.54905E+04    0.48154E+01    0.10177E+03    0.19935E+07    0.16351E+04
   268    0.54605E+04    0.49558E+01    0.10320E+03    0.19855E+07    0.16215E+04
   269    0.54300E+04    0.50985E+01    0.10460E+03    0.19776E+07    0.16080E+04
   270    0.53992E+04    0.52436E+01    0.10597E+03    0.19697E+07    0.15946E+04
   271    0.53680E+04    0.53910E+01    0.10732E+03    0.19618E+07    0.15813E+04
   272    0.53365E+04    0.55410E+01    0.10863E+03    0.19540E+07    0.15680E+04
   273    0.53045E+04    0.56930E+01    0.10992E+03    0.19462E+07    0.15549E+04
   274    0.52722E+04    0.58476E+01    0.11117E+03    0.19385E+07    0.15419E+04
   275    0.52396E+04    0.60043E+01    0.11240E+03    0.19309E+07    0.15289E+04
   276    0.52066E+04    0.61632E+01    0.11358E+03    0.19233E+07    0.15161E+04
   277    0.51733E+04    0.63244E+01    0.11475E+03    0.19157E+07    0.15033E+04
   278    0.51396E+04    0.64878E+01    0.11587E+03    0.19082E+07    0.14907E+04
   279    0.51057E+04    0.66533E+01    0.11696E+03    0.19007E+07    0.14781E+04
   280    0.50714E+04    0.68209E+01    0.11802E+03    0.18933E+07    0.14656E+04
   281    0.50370E+04    0.69906E+01    0.11905E+03    0.18859E+07    0.14533E+04
   282    0.50021E+04    0.71623E+01    0.12003E+03    0.18786E+07    0.14410E+04
   283    0.49671E+04    0.73359E+01    0.12099E+03    0.18713E+07    0.14288E+04
   284    0.49318E+04    0.75116E+01    0.12190E+03    0.18641E+07    0.14167E+04
   285    0.48963E+04    0.76893E+01    0.12278E+03    0.18569E+07    0.14047E+04
   286    0.48605E+04    0.78688E+01    0.12362E+03    0.18497E+07    0.13928E+04
   287    0.48245E+04    0.80501E+01    0.12443E+03    0.18426E+07    0.13809E+04
   288    0.47883E+04    0.82332E+01    0.12519E+03    0.18355E+07    0.13692E+04
   289    0.47519E+04    0.84180E+01    0.12592E+03    0.18285E+07    0.13575E+04
   290    0.47153E+04    0.86043E+01    0.12662E+03    0.18215E+07    0.13460E+04
   291    0.46786E+04    0.87930E+01    0.12726E+03    0.18145E+07    0.13345E+04
   292    0.46415E+04    0.89828E+01    0.12788E+03    0.18076E+07    0.13231E+04
   293    0.46045E+04    0.91734E+01    0.12844E+03    0.18007E+07    0.13118E+04
   294    0.45673E+04    0.93662E+01    0.12898E+03    0.17939E+07    0.13005E+04
   295    0.45301E+04    0.95598E+01    0.12947E+03    0.17871E+07    0.12894E+04
   296    0.44927E+04    0.97556E+01    0.12992E+03    0.17804E+07    0.12783E+04
   297    0.44552E+04    0.99514E+01    0.13033E+03    0.17736E+07    0.12673E+04
   298    0.44175E+04    0.10149E+02    0.13070E+03    0.17670E+07    0.12564E+04
   299    0.43799E+04    0.10349E+02    0.13102E+03    0.17603E+07    0.12456E+04
   300    0.43421E+04    0.10548E+02    0.13130E+03    0.17537E+07    0.12349E+04
   301    0.43043E+04    0.10749E+02    0.13154E+03    0.17472E+07    0.12242E+04
   302    0.42665E+04    0.10951E+02    0.13175E+03    0.17407E+07    0.12136E+04
   303    0.42287E+04    0.11154E+02    0.13191E+03    0.17342E+07    0.12031E+04
   304    0.41908E+04    0.11358E+02    0.13201E+03    0.17278E+07    0.11927E+04
   305    0.41530E+04    0.11562E+02    0.13209E+03    0.17214E+07    0.11823E+04
   306    0.41151E+04    0.11767E+02    0.13211E+03    0.17150E+07    0.11721E+04
   307    0.40773E+04    0.11972E+02    0.13209E+03    0.17087E+07    0.11619E+04
   308    0.40395E+04    0.12180E+02    0.13204E+03    0.17024E+07    0.11517E+04
   309    0.40019E+04    0.12387E+02    0.13194E+03    0.16961E+07    0.11417E+04
   310    0.39642E+04    0.12593E+02    0.13179E+03    0.16899E+07    0.11317E+04
   311    0.39266E+04    0.12802E+02    0.13160E+03    0.16837E+07    0.11218E+04
   312    0.38892E+04    0.13009E+02    0.13137E+03    0.16776E+07    0.11120E+04
   313    0.38518E+04    0.13217E+02    0.13110E+03    0.16714E+07    0.11023E+04
   314    0.38145E+04    0.13426E+02    0.13078E+03    0.16653E+07    0.10926E+04
   315    0.37773E+04    0.13634E+02    0.13042E+03    0.16593E+07    0.10830E+04
   316    0.37403E+04    0.13842E+02    0.13001E+03    0.16533E+07    0.10735E+04
   317    0.37034E+04    0.14049E+02    0.12957E+03    0.16473E+07    0.10641E+04
   318    0.36666E+04    0.14258E+02    0.12908E+03    0.16413E+07    0.10548E+04
   319    0.36300E+04    0.14465E+02    0.12854E+03    0.16354E+07    0.10455E+04
   320    0.35936E+04    0.14672E+02    0.12798E+03    0.16295E+07    0.10363E+04
   321    0.35573E+04    0.14880E+02    0.12736E+03    0.16237E+07    0.10272E+04
