#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    88    0.25788E+04   -0.17420E+02    0.52506E-05   -0.17420E+02    0.66642E+00   -0.16486E-07    0.52506E-05   -0.16486E-07    0.13902E-10
    89    0.26106E+04   -0.18117E+02    0.51297E-05   -0.18117E+02    0.68378E+00   -0.16340E-07    0.51297E-05   -0.16340E-07    0.13513E-10
    90    0.26427E+04   -0.18818E+02    0.50128E-05   -0.18818E+02    0.70114E+00   -0.16194E-07    0.50128E-05   -0.16194E-07    0.13138E-10
    91    0.26750E+04   -0.19525E+02    0.48996E-05   -0.19525E+02    0.71847E+00   -0.16048E-07    0.48996E-05   -0.16048E-07    0.12776E-10
    92    0.27076E+04   -0.20238E+02    0.47899E-05   -0.20238E+02    0.73578E+00   -0.15902E-07    0.47899E-05   -0.15902E-07    0.12427E-10
    93    0.27406E+04   -0.20956E+02    0.46837E-05   -0.20956E+02    0.75304E+00   -0.15757E-07    0.46837E-05   -0.15757E-07    0.12090E-10
    94    0.27736E+04   -0.21677E+02    0.45808E-05   -0.21677E+02    0.77023E+00   -0.15612E-07    0.45808E-05   -0.15612E-07    0.11765E-10
    95    0.28070E+04   -0.22403E+02    0.44811E-05   -0.22403E+02    0.78733E+00   -0.15467E-07    0.44811E-05   -0.15467E-07    0.11451E-10
    96    0.28403E+04   -0.23132E+02    0.43843E-05   -0.23132E+02    0.80434E+00   -0.15322E-07    0.43843E-05   -0.15322E-07    0.11147E-10
    97    0.28742E+04   -0.23864E+02    0.42904E-05   -0.23864E+02    0.82123E+00   -0.15177E-07    0.42904E-05   -0.15177E-07    0.10854E-10
    98    0.29083E+04   -0.24596E+02    0.41993E-05   -0.24596E+02    0.83800E+00   -0.15033E-07    0.41993E-05   -0.15033E-07    0.10570E-10
    99    0.29424E+04   -0.25332E+02    0.41108E-05   -0.25332E+02    0.85461E+00   -0.14889E-07    0.41108E-05   -0.14889E-07    0.10296E-10
   100    0.29769E+04   -0.26067E+02    0.40248E-05   -0.26067E+02    0.87105E+00   -0.14745E-07    0.40248E-05   -0.14745E-07    0.10031E-10
   101    0.30116E+04   -0.26804E+02    0.39414E-05   -0.26804E+02    0.88739E+00   -0.14601E-07    0.39414E-05   -0.14601E-07    0.97739E-11
   102    0.30468E+04   -0.27540E+02    0.38604E-05   -0.27540E+02    0.90347E+00   -0.14458E-07    0.38604E-05   -0.14458E-07    0.95256E-11
   103    0.30819E+04   -0.28277E+02    0.37817E-05   -0.28277E+02    0.91936E+00   -0.14315E-07    0.37817E-05   -0.14315E-07    0.92855E-11
   104    0.31173E+04   -0.29011E+02    0.37052E-05   -0.29011E+02    0.93506E+00   -0.14172E-07    0.37052E-05   -0.14172E-07    0.90533E-11
   105    0.31529E+04   -0.29743E+02    0.36310E-05   -0.29743E+02    0.95050E+00   -0.14030E-07    0.36310E-05   -0.14030E-07    0.88287E-11
   106    0.31887E+04   -0.30473E+02    0.35589E-05   -0.30473E+02    0.96575E+00   -0.13887E-07    0.35589E-05   -0.13887E-07    0.86114E-11
   107    0.32244E+04   -0.31199E+02    0.34888E-05   -0.31199E+02    0.98065E+00   -0.13745E-07    0.34888E-05   -0.13745E-07    0.84012E-11
   108    0.32605E+04   -0.31923E+02    0.34207E-05   -0.31923E+02    0.99528E+00   -0.13604E-07    0.34207E-05   -0.13604E-07    0.81977E-11
   109    0.32968E+04   -0.32641E+02    0.33545E-05   -0.32641E+02    0.10096E+01   -0.13462E-07    0.33545E-05   -0.13462E-07    0.80007E-11
   110    0.33332E+04   -0.33354E+02    0.32901E-05   -0.33354E+02    0.10235E+01   -0.13321E-07    0.32901E-05   -0.13321E-07    0.78098E-11
   111    0.33698E+04   -0.34062E+02    0.32274E-05   -0.34062E+02    0.10371E+01   -0.13181E-07    0.32274E-05   -0.13181E-07    0.76249E-11
   112    0.34065E+04   -0.34764E+02    0.31664E-05   -0.34764E+02    0.10504E+01   -0.13040E-07    0.31664E-05   -0.13040E-07    0.74456E-11
   113    0.34435E+04   -0.35459E+02    0.31070E-05   -0.35459E+02    0.10634E+01   -0.12900E-07    0.31070E-05   -0.12900E-07    0.72717E-11
   114    0.34805E+04   -0.36146E+02    0.30491E-05   -0.36146E+02    0.10759E+01   -0.12760E-07    0.30491E-05   -0.12760E-07    0.71029E-11
   115    0.35178E+04   -0.36825E+02    0.29926E-05   -0.36825E+02    0.10881E+01   -0.12621E-07    0.29926E-05   -0.12621E-07    0.69389E-11
   116    0.35551E+04   -0.37495E+02    0.29376E-05   -0.37495E+02    0.10998E+01   -0.12482E-07    0.29376E-05   -0.12482E-07    0.67795E-11
   117    0.35927E+04   -0.38156E+02    0.28839E-05   -0.38156E+02    0.11111E+01   -0.12343E-07    0.28839E-05   -0.12343E-07    0.66247E-11
   118    0.36305E+04   -0.38807E+02    0.28315E-05   -0.38807E+02    0.11220E+01   -0.12205E-07    0.28315E-05   -0.12205E-07    0.64744E-11
   119    0.36683E+04   -0.39447E+02    0.27804E-05   -0.39447E+02    0.11326E+01   -0.12067E-07    0.27804E-05   -0.12067E-07    0.63283E-11
   120    0.37063E+04   -0.40076E+02    0.27306E-05   -0.40076E+02    0.11425E+01   -0.11929E-07    0.27306E-05   -0.11929E-07    0.61864E-11
   121    0.37442E+04   -0.40693E+02    0.26820E-05   -0.40693E+02    0.11522E+01   -0.11792E-07    0.26820E-05   -0.11792E-07    0.60486E-11
   122    0.37823E+04   -0.41297E+02    0.26345E-05   -0.41297E+02    0.11612E+01   -0.11655E-07    0.26345E-05   -0.11655E-07    0.59147E-11
   123    0.38204E+04   -0.41889E+02    0.25883E-05   -0.41889E+02    0.11698E+01   -0.11518E-07    0.25883E-05   -0.11518E-07    0.57846E-11
   124    0.38586E+04   -0.42465E+02    0.25431E-05   -0.42465E+02    0.11779E+01   -0.11382E-07    0.25431E-05   -0.11382E-07    0.56582E-11
   125    0.38968E+04   -0.43028E+02    0.24990E-05   -0.43028E+02    0.11854E+01   -0.11246E-07    0.24990E-05   -0.11246E-07    0.55354E-11
   126    0.39351E+04   -0.43576E+02    0.24560E-05   -0.43576E+02    0.11926E+01   -0.11110E-07    0.24560E-05   -0.11110E-07    0.54160E-11
   127    0.39734E+04   -0.44108E+02    0.24140E-05   -0.44108E+02    0.11991E+01   -0.10975E-07    0.24140E-05   -0.10975E-07    0.53000E-11
