#    L    TT             EE             TE             PP             TP          
   204    0.55648E+04    0.64459E+00   -0.70006E+01    0.21091E+07    0.22241E+04
   205    0.55740E+04    0.64965E+00   -0.56540E+01    0.20981E+07    0.22053E+04
   206    0.55826E+04    0.65575E+00   -0.42885E+01    0.20871E+07    0.21867E+04
   207    0.55906E+04    0.66291E+00   -0.29045E+01    0.20762E+07    0.21682E+04
   208    0.55979E+04    0.67120E+00   -0.15025E+01    0.20654E+07    0.21500E+04
   209    0.56046E+04    0.68062E+00   -0.83050E-01    0.20547E+07    0.21318E+04
   210    0.56107E+04    0.69123E+00    0.13531E+01    0.20441E+07    0.21139E+04
   211    0.56162E+04    0.70307E+00    0.28058E+01    0.20336E+07    0.20961E+04
   212    0.56210E+04    0.71615E+00    0.42741E+01    0.20231E+07    0.20785E+04
   213    0.56252E+04    0.73053E+00    0.57581E+01    0.20128E+07    0.20610E+04
   214    0.56288E+04    0.74619E+00    0.72565E+01    0.20025E+07    0.20436E+04
   215    0.56318E+04    0.76333E+00    0.87686E+01    0.19924E+07    0.20264E+04
   216    0.56341E+04    0.78176E+00    0.10295E+02    0.19823E+07    0.20094E+04
   217    0.56359E+04    0.80164E+00    0.11833E+02    0.19722E+07    0.19925E+04
   218    0.56370E+04    0.82297E+00    0.13384E+02    0.19623E+07    0.19757E+04
   219    0.56375E+04    0.84574E+00    0.14949E+02    0.19525E+07    0.19591E+04
   220    0.56375E+04    0.87011E+00    0.16522E+02    0.19427E+07    0.19426E+04
   221    0.56369E+04    0.89599E+00    0.18106E+02    0.19330E+07    0.19263E+04
   222    0.56356E+04    0.92354E+00    0.19701E+02    0.19234E+07    0.19100E+04
   223    0.56337E+04    0.95268E+00    0.21305E+02    0.19138E+07    0.18940E+04
   224    0.56313E+04    0.98342E+00    0.22916E+02    0.19044E+07    0.18780E+04
   225    0.56282E+04    0.10159E+01    0.24537E+02    0.18950E+07    0.18622E+04
   226    0.56246E+04    0.10501E+01    0.26165E+02    0.18857E+07    0.18465E+04
   227    0.56203E+04    0.10860E+01    0.27799E+02    0.18765E+07    0.18309E+04
   228    0.56155E+04    0.11237E+01    0.29440E+02    0.18673E+07    0.18155E+04
   229    0.56101E+04    0.11632E+01    0.31085E+02    0.18582E+07    0.18002E+04
   230    0.56041E+04    0.12045E+01    0.32735E+02    0.18492E+07    0.17850E+04
   231    0.55974E+04    0.12477E+01    0.34390E+02    0.18403E+07    0.17699E+04
   232    0.55902E+04    0.12927E+01    0.36048E+02    0.18314E+07    0.17549E+04
   233    0.55824E+04    0.13397E+01    0.37708E+02    0.18226E+07    0.17401E+04
   234    0.55739E+04    0.13886E+01    0.39370E+02    0.18139E+07    0.17254E+04
   235    0.55649E+04    0.14394E+01    0.41033E+02    0.18052E+07    0.17108E+04
   236    0.55552E+04    0.14922E+01    0.42697E+02    0.17966E+07    0.16963E+04
