#    L    TT             EE             BB             TE             PP             TP             EP          
   133    0.41745E+04    0.12268E+01    0.00000E+00   -0.46740E+02    0.86021E-07    0.27278E-03   -0.13588E-05
   134    0.42125E+04    0.12297E+01    0.00000E+00   -0.47150E+02    0.85524E-07    0.27026E-03   -0.13513E-05
   135    0.42506E+04    0.12321E+01    0.00000E+00   -0.47542E+02    0.85031E-07    0.26778E-03   -0.13436E-05
   136    0.42885E+04    0.12338E+01    0.00000E+00   -0.47912E+02    0.84541E-07    0.26533E-03   -0.13357E-05
   137    0.43264E+04    0.12351E+01    0.00000E+00   -0.48261E+02    0.84056E-07    0.26291E-03   -0.13275E-05
   138    0.43642E+04    0.12357E+01    0.00000E+00   -0.48589E+02    0.83574E-07    0.26052E-03   -0.13192E-05
   139    0.44018E+04    0.12360E+01    0.00000E+00   -0.48895E+02    0.83096E-07    0.25817E-03   -0.13107E-05
   140    0.44394E+04    0.12355E+01    0.00000E+00   -0.49179E+02    0.82621E-07    0.25584E-03   -0.13020E-05
   141    0.44769E+04    0.12345E+01    0.00000E+00   -0.49439E+02    0.82150E-07    0.25355E-03   -0.12931E-05
   142    0.45143E+04    0.12329E+01    0.00000E+00   -0.49676E+02    0.81683E-07    0.25128E-03   -0.12839E-05
   143    0.45516E+04    0.12308E+01    0.00000E+00   -0.49889E+02    0.81220E-07    0.24905E-03   -0.12747E-05
   144    0.45887E+04    0.12282E+01    0.00000E+00   -0.50079E+02    0.80760E-07    0.24684E-03   -0.12652E-05
   145    0.46256E+04    0.12251E+01    0.00000E+00   -0.50244E+02    0.80304E-07    0.24466E-03   -0.12555E-05
   146    0.46626E+04    0.12213E+01    0.00000E+00   -0.50385E+02    0.79851E-07    0.24251E-03   -0.12457E-05
   147    0.46993E+04    0.12172E+01    0.00000E+00   -0.50499E+02    0.79402E-07    0.24038E-03   -0.12356E-05
   148    0.47358E+04    0.12124E+01    0.00000E+00   -0.50589E+02    0.78957E-07    0.23828E-03   -0.12254E-05
   149    0.47722E+04    0.12071E+01    0.00000E+00   -0.50652E+02    0.78515E-07    0.23620E-03   -0.12150E-05
   150    0.48082E+04    0.12014E+01    0.00000E+00   -0.50687E+02    0.78077E-07    0.23415E-03   -0.12045E-05
   151    0.48442E+04    0.11952E+01    0.00000E+00   -0.50696E+02    0.77642E-07    0.23213E-03   -0.11938E-05
   152    0.48798E+04    0.11884E+01    0.00000E+00   -0.50678E+02    0.77211E-07    0.23012E-03   -0.11829E-05
   153    0.49152E+04    0.11811E+01    0.00000E+00   -0.50631E+02    0.76783E-07    0.22814E-03   -0.11718E-05
   154    0.49504E+04    0.11735E+01    0.00000E+00   -0.50556E+02    0.76359E-07    0.22619E-03   -0.11606E-05
   155    0.49853E+04    0.11654E+01    0.00000E+00   -0.50454E+02    0.75938E-07    0.22425E-03   -0.11492E-05
   156    0.50198E+04    0.11570E+01    0.00000E+00   -0.50323E+02    0.75521E-07    0.22234E-03   -0.11377E-05
   157    0.50542E+04    0.11481E+01    0.00000E+00   -0.50163E+02    0.75107E-07    0.22045E-03   -0.11259E-05
   158    0.50882E+04    0.11389E+01    0.00000E+00   -0.49974E+02    0.74696E-07    0.21858E-03   -0.11141E-05
   159    0.51219E+04    0.11292E+01    0.00000E+00   -0.49756E+02    0.74289E-07    0.21674E-03   -0.11021E-05
   160    0.51554E+04    0.11192E+01    0.00000E+00   -0.49507E+02    0.73884E-07    0.21491E-03   -0.10899E-05
   161    0.51885E+04    0.11090E+01    0.00000E+00   -0.49229E+02    0.73484E-07    0.21310E-03   -0.10776E-05
   162    0.52213E+04    0.10983E+01    0.00000E+00   -0.48922E+02    0.73086E-07    0.21131E-03   -0.10652E-05
   163    0.52538E+04    0.10874E+01    0.00000E+00   -0.48585E+02    0.72691E-07    0.20954E-03   -0.10526E-05
   164    0.52859E+04    0.10762E+01    0.00000E+00   -0.48218E+02    0.72300E-07    0.20779E-03   -0.10398E-05
   165    0.53177E+04    0.10647E+01    0.00000E+00   -0.47819E+02    0.71912E-07    0.20606E-03   -0.10270E-05
   166    0.53491E+04    0.10530E+01    0.00000E+00   -0.47391E+02    0.71527E-07    0.20434E-03   -0.10140E-05
   167    0.53802E+04    0.10410E+01    0.00000E+00   -0.46933E+02    0.71146E-07    0.20264E-03   -0.10008E-05
   168    0.54108E+04    0.10289E+01    0.00000E+00   -0.46443E+02    0.70767E-07    0.20096E-03   -0.98754E-06
   169    0.54410E+04    0.10166E+01    0.00000E+00   -0.45922E+02    0.70391E-07    0.19930E-03   -0.97414E-06
   170    0.54709E+04    0.10042E+01    0.00000E+00   -0.45372E+02    0.70019E-07    0.19765E-03   -0.96061E-06
   171    0.55002E+04    0.99181E+00    0.00000E+00   -0.44789E+02    0.69649E-07    0.19602E-03   -0.94696E-06
   172    0.55290E+04    0.97924E+00    0.00000E+00   -0.44175E+02    0.69283E-07    0.19441E-03   -0.93320E-06
   173    0.55573E+04    0.96655E+00    0.00000E+00   -0.43530E+02    0.68919E-07    0.19281E-03   -0.91931E-06
   174    0.55853E+04    0.95403E+00    0.00000E+00   -0.42856E+02    0.68559E-07    0.19123E-03   -0.90530E-06
