#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   144    0.41443E+04   -0.43481E+02    0.15614E-05   -0.43481E+02    0.10276E+01   -0.79020E-08    0.15614E-05   -0.79020E-08    0.31089E-11
   145    0.41773E+04   -0.43612E+02    0.15352E-05   -0.43612E+02    0.10250E+01   -0.77784E-08    0.15352E-05   -0.77784E-08    0.30468E-11
   146    0.42105E+04   -0.43722E+02    0.15097E-05   -0.43722E+02    0.10219E+01   -0.76553E-08    0.15097E-05   -0.76553E-08    0.29863E-11
   147    0.42433E+04   -0.43809E+02    0.14847E-05   -0.43809E+02    0.10185E+01   -0.75328E-08    0.14847E-05   -0.75328E-08    0.29272E-11
   148    0.42759E+04   -0.43875E+02    0.14602E-05   -0.43875E+02    0.10145E+01   -0.74109E-08    0.14602E-05   -0.74109E-08    0.28697E-11
   149    0.43085E+04   -0.43917E+02    0.14363E-05   -0.43917E+02    0.10101E+01   -0.72896E-08    0.14363E-05   -0.72896E-08    0.28135E-11
   150    0.43408E+04   -0.43935E+02    0.14129E-05   -0.43935E+02    0.10054E+01   -0.71689E-08    0.14129E-05   -0.71689E-08    0.27587E-11
   151    0.43730E+04   -0.43931E+02    0.13899E-05   -0.43931E+02    0.10003E+01   -0.70488E-08    0.13899E-05   -0.70488E-08    0.27053E-11
   152    0.44048E+04   -0.43903E+02    0.13675E-05   -0.43903E+02    0.99471E+00   -0.69293E-08    0.13675E-05   -0.69293E-08    0.26531E-11
   153    0.44365E+04   -0.43850E+02    0.13455E-05   -0.43850E+02    0.98876E+00   -0.68105E-08    0.13455E-05   -0.68105E-08    0.26022E-11
   154    0.44680E+04   -0.43773E+02    0.13240E-05   -0.43773E+02    0.98248E+00   -0.66924E-08    0.13240E-05   -0.66924E-08    0.25526E-11
   155    0.44993E+04   -0.43671E+02    0.13029E-05   -0.43671E+02    0.97585E+00   -0.65750E-08    0.13029E-05   -0.65750E-08    0.25042E-11
   156    0.45301E+04   -0.43545E+02    0.12822E-05   -0.43545E+02    0.96889E+00   -0.64584E-08    0.12822E-05   -0.64584E-08    0.24569E-11
   157    0.45609E+04   -0.43394E+02    0.12620E-05   -0.43394E+02    0.96160E+00   -0.63425E-08    0.12620E-05   -0.63425E-08    0.24108E-11
   158    0.45914E+04   -0.43217E+02    0.12422E-05   -0.43217E+02    0.95404E+00   -0.62274E-08    0.12422E-05   -0.62274E-08    0.23658E-11
   159    0.46215E+04   -0.43015E+02    0.12229E-05   -0.43015E+02    0.94608E+00   -0.61131E-08    0.12229E-05   -0.61131E-08    0.23218E-11
   160    0.46514E+04   -0.42786E+02    0.12039E-05   -0.42786E+02    0.93786E+00   -0.59996E-08    0.12039E-05   -0.59996E-08    0.22790E-11
   161    0.46811E+04   -0.42532E+02    0.11853E-05   -0.42532E+02    0.92946E+00   -0.58869E-08    0.11853E-05   -0.58869E-08    0.22371E-11
   162    0.47104E+04   -0.42252E+02    0.11670E-05   -0.42252E+02    0.92072E+00   -0.57752E-08    0.11670E-05   -0.57752E-08    0.21962E-11
   163    0.47396E+04   -0.41946E+02    0.11491E-05   -0.41946E+02    0.91174E+00   -0.56643E-08    0.11491E-05   -0.56643E-08    0.21563E-11
   164    0.47683E+04   -0.41615E+02    0.11316E-05   -0.41615E+02    0.90257E+00   -0.55544E-08    0.11316E-05   -0.55544E-08    0.21173E-11
   165    0.47968E+04   -0.41256E+02    0.11144E-05   -0.41256E+02    0.89315E+00   -0.54453E-08    0.11144E-05   -0.54453E-08    0.20792E-11
   166    0.48249E+04   -0.40871E+02    0.10976E-05   -0.40871E+02    0.88363E+00   -0.53373E-08    0.10976E-05   -0.53373E-08    0.20419E-11
   167    0.48528E+04   -0.40461E+02    0.10810E-05   -0.40461E+02    0.87378E+00   -0.52302E-08    0.10810E-05   -0.52302E-08    0.20055E-11
   168    0.48803E+04   -0.40023E+02    0.10648E-05   -0.40023E+02    0.86398E+00   -0.51239E-08    0.10648E-05   -0.51239E-08    0.19699E-11
   169    0.49073E+04   -0.39558E+02    0.10489E-05   -0.39558E+02    0.85393E+00   -0.50186E-08    0.10489E-05   -0.50186E-08    0.19351E-11
   170    0.49341E+04   -0.39067E+02    0.10333E-05   -0.39067E+02    0.84385E+00   -0.49140E-08    0.10333E-05   -0.49140E-08    0.19011E-11
   171    0.49604E+04   -0.38548E+02    0.10180E-05   -0.38548E+02    0.83373E+00   -0.48103E-08    0.10180E-05   -0.48103E-08    0.18678E-11
   172    0.49863E+04   -0.38002E+02    0.10030E-05   -0.38002E+02    0.82352E+00   -0.47073E-08    0.10030E-05   -0.47073E-08    0.18353E-11
   173    0.50117E+04   -0.37429E+02    0.98826E-06   -0.37429E+02    0.81320E+00   -0.46051E-08    0.98826E-06   -0.46051E-08    0.18035E-11
   174    0.50368E+04   -0.36830E+02    0.97380E-06   -0.36830E+02    0.80308E+00   -0.45036E-08    0.97380E-06   -0.45036E-08    0.17724E-11
