#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   113    0.34197E+04   -0.35223E+02    0.29227E-05   -0.35223E+02    0.10609E+01   -0.12891E-07    0.29227E-05   -0.12891E-07    0.75122E-11
   114    0.34565E+04   -0.35910E+02    0.28675E-05   -0.35910E+02    0.10735E+01   -0.12752E-07    0.28675E-05   -0.12752E-07    0.73382E-11
   115    0.34935E+04   -0.36588E+02    0.28137E-05   -0.36588E+02    0.10858E+01   -0.12614E-07    0.28137E-05   -0.12614E-07    0.71692E-11
   116    0.35305E+04   -0.37258E+02    0.27612E-05   -0.37258E+02    0.10975E+01   -0.12475E-07    0.27612E-05   -0.12475E-07    0.70050E-11
   117    0.35679E+04   -0.37919E+02    0.27100E-05   -0.37919E+02    0.11089E+01   -0.12337E-07    0.27100E-05   -0.12337E-07    0.68455E-11
   118    0.36054E+04   -0.38571E+02    0.26602E-05   -0.38571E+02    0.11199E+01   -0.12200E-07    0.26602E-05   -0.12200E-07    0.66905E-11
   119    0.36429E+04   -0.39211E+02    0.26116E-05   -0.39211E+02    0.11305E+01   -0.12062E-07    0.26116E-05   -0.12062E-07    0.65400E-11
   120    0.36806E+04   -0.39840E+02    0.25642E-05   -0.39840E+02    0.11405E+01   -0.11925E-07    0.25642E-05   -0.11925E-07    0.63937E-11
   121    0.37183E+04   -0.40458E+02    0.25180E-05   -0.40458E+02    0.11503E+01   -0.11789E-07    0.25180E-05   -0.11789E-07    0.62517E-11
   122    0.37561E+04   -0.41064E+02    0.24729E-05   -0.41064E+02    0.11594E+01   -0.11652E-07    0.24729E-05   -0.11652E-07    0.61136E-11
   123    0.37940E+04   -0.41657E+02    0.24290E-05   -0.41657E+02    0.11681E+01   -0.11517E-07    0.24290E-05   -0.11517E-07    0.59795E-11
   124    0.38319E+04   -0.42234E+02    0.23861E-05   -0.42234E+02    0.11763E+01   -0.11381E-07    0.23861E-05   -0.11381E-07    0.58492E-11
   125    0.38699E+04   -0.42799E+02    0.23443E-05   -0.42799E+02    0.11840E+01   -0.11246E-07    0.23443E-05   -0.11246E-07    0.57226E-11
   126    0.39079E+04   -0.43349E+02    0.23035E-05   -0.43349E+02    0.11912E+01   -0.11111E-07    0.23035E-05   -0.11111E-07    0.55995E-11
   127    0.39459E+04   -0.43884E+02    0.22637E-05   -0.43884E+02    0.11979E+01   -0.10977E-07    0.22637E-05   -0.10977E-07    0.54798E-11
   128    0.39840E+04   -0.44403E+02    0.22248E-05   -0.44403E+02    0.12041E+01   -0.10843E-07    0.22248E-05   -0.10843E-07    0.53635E-11
   129    0.40221E+04   -0.44905E+02    0.21868E-05   -0.44905E+02    0.12097E+01   -0.10709E-07    0.21868E-05   -0.10709E-07    0.52502E-11
   130    0.40602E+04   -0.45390E+02    0.21497E-05   -0.45390E+02    0.12147E+01   -0.10576E-07    0.21497E-05   -0.10576E-07    0.51401E-11
   131    0.40982E+04   -0.45858E+02    0.21134E-05   -0.45858E+02    0.12193E+01   -0.10443E-07    0.21134E-05   -0.10443E-07    0.50328E-11
   132    0.41364E+04   -0.46308E+02    0.20780E-05   -0.46308E+02    0.12233E+01   -0.10311E-07    0.20780E-05   -0.10311E-07    0.49283E-11
   133    0.41745E+04   -0.46740E+02    0.20433E-05   -0.46740E+02    0.12268E+01   -0.10179E-07    0.20433E-05   -0.10179E-07    0.48266E-11
   134    0.42125E+04   -0.47150E+02    0.20093E-05   -0.47150E+02    0.12297E+01   -0.10047E-07    0.20093E-05   -0.10047E-07    0.47275E-11
   135    0.42506E+04   -0.47542E+02    0.19762E-05   -0.47542E+02    0.12321E+01   -0.99159E-08    0.19762E-05   -0.99159E-08    0.46310E-11
   136    0.42885E+04   -0.47912E+02    0.19437E-05   -0.47912E+02    0.12338E+01   -0.97852E-08    0.19437E-05   -0.97852E-08    0.45370E-11
   137    0.43264E+04   -0.48261E+02    0.19120E-05   -0.48261E+02    0.12351E+01   -0.96549E-08    0.19120E-05   -0.96549E-08    0.44454E-11
   138    0.43642E+04   -0.48589E+02    0.18809E-05   -0.48589E+02    0.12357E+01   -0.95251E-08    0.18809E-05   -0.95251E-08    0.43563E-11
   139    0.44018E+04   -0.48895E+02    0.18505E-05   -0.48895E+02    0.12360E+01   -0.93957E-08    0.18505E-05   -0.93957E-08    0.42694E-11
   140    0.44394E+04   -0.49179E+02    0.18208E-05   -0.49179E+02    0.12355E+01   -0.92667E-08    0.18208E-05   -0.92667E-08    0.41848E-11
   141    0.44769E+04   -0.49439E+02    0.17918E-05   -0.49439E+02    0.12345E+01   -0.91383E-08    0.17918E-05   -0.91383E-08    0.41024E-11
   142    0.45143E+04   -0.49676E+02    0.17633E-05   -0.49676E+02    0.12329E+01   -0.90102E-08    0.17633E-05   -0.90102E-08    0.40220E-11
   143    0.45516E+04   -0.49889E+02    0.17354E-05   -0.49889E+02    0.12308E+01   -0.88827E-08    0.17354E-05   -0.88827E-08    0.39437E-11
   144    0.45887E+04   -0.50079E+02    0.17082E-05   -0.50079E+02    0.12282E+01   -0.87556E-08    0.17082E-05   -0.87556E-08    0.38674E-11
   145    0.46256E+04   -0.50244E+02    0.16815E-05   -0.50244E+02    0.12251E+01   -0.86290E-08    0.16815E-05   -0.86290E-08    0.37930E-11
   146    0.46626E+04   -0.50385E+02    0.16553E-05   -0.50385E+02    0.12213E+01   -0.85029E-08    0.16553E-05   -0.85029E-08    0.37204E-11
   147    0.46993E+04   -0.50499E+02    0.16297E-05   -0.50499E+02    0.12172E+01   -0.83772E-08    0.16297E-05   -0.83772E-08    0.36496E-11
   148    0.47358E+04   -0.50589E+02    0.16046E-05   -0.50589E+02    0.12124E+01   -0.82521E-08    0.16046E-05   -0.82521E-08    0.35805E-11
   149    0.47722E+04   -0.50652E+02    0.15800E-05   -0.50652E+02    0.12071E+01   -0.81275E-08    0.15800E-05   -0.81275E-08    0.35130E-11
   150    0.48082E+04   -0.50687E+02    0.15558E-05   -0.50687E+02    0.12014E+01   -0.80033E-08    0.15558E-05   -0.80033E-08    0.34471E-11
   151    0.48442E+04   -0.50696E+02    0.15322E-05   -0.50696E+02    0.11952E+01   -0.78797E-08    0.15322E-05   -0.78797E-08    0.33828E-11
   152    0.48798E+04   -0.50678E+02    0.15090E-05   -0.50678E+02    0.11884E+01   -0.77566E-08    0.15090E-05   -0.77566E-08    0.33200E-11
   153    0.49152E+04   -0.50631E+02    0.14863E-05   -0.50631E+02    0.11811E+01   -0.76340E-08    0.14863E-05   -0.76340E-08    0.32587E-11
   154    0.49504E+04   -0.50556E+02    0.14640E-05   -0.50556E+02    0.11735E+01   -0.75119E-08    0.14640E-05   -0.75119E-08    0.31988E-11
   155    0.49853E+04   -0.50454E+02    0.14421E-05   -0.50454E+02    0.11654E+01   -0.73904E-08    0.14421E-05   -0.73904E-08    0.31404E-11
   156    0.50198E+04   -0.50323E+02    0.14207E-05   -0.50323E+02    0.11570E+01   -0.72694E-08    0.14207E-05   -0.72694E-08    0.30833E-11
   157    0.50542E+04   -0.50163E+02    0.13997E-05   -0.50163E+02    0.11481E+01   -0.71489E-08    0.13997E-05   -0.71489E-08    0.30276E-11
   158    0.50882E+04   -0.49974E+02    0.13790E-05   -0.49974E+02    0.11389E+01   -0.70290E-08    0.13790E-05   -0.70290E-08    0.29731E-11
